career_id,career_name,domain,difficulty_level,year,layoffs,openings,avg_salary_inr,job_description,required_skills,top_tools_technologies,education_requirements,years_of_experience,pros,cons,industry_growth_index,ai_automation_risk
1,3D Animator,Computer Graphics & Animation,Intermediate,2015,11000,24108,"2,80,000 – 8,30,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2016,6363,15858,"3,00,000 – 9,00,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2017,29196,9614,"3,20,000 – 9,70,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2018,21281,14303,"3,50,000 – 10,50,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2019,14161,40792,"3,80,000 – 11,30,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2020,8592,13795,"4,10,000 – 12,30,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2021,23833,12023,"4,40,000 – 13,20,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2022,44777,55341,"4,80,000 – 14,30,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2023,86447,25570,"5,10,000 – 15,40,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2024,81796,60504,"5,60,000 – 16,70,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
1,3D Animator,Computer Graphics & Animation,Intermediate,2025,11308,294421,"6,00,000 – 18,00,000",Creates animated characters objects and scenes for movies games advertisements and digital media using specialized 3D animation software.,"Animation principles, Rigging, Keyframing, Motion capture, Storytelling, Timing, Character animation","Maya, Blender, Cinema 4D, 3ds Max, After Effects, Houdini","Bachelor's in Animation, Fine Arts, or related field",1–4 years,"Creative freedom, Diverse industries (film/games/ads), Growing OTT demand","Project-based job insecurity, Long rendering hours, Highly competitive field",8.2,38
2,3D Artist,Computer Graphics & Animation,Intermediate,2015,31949,57283,"2,30,000 – 7,40,000",Designs and builds digital 3D models textures and environments that are used in games films simulations and virtual experiences.,"3D modeling, Texturing, UV mapping, Lighting, Rendering, Composition","Blender, Maya, ZBrush, Substance Painter, Unreal Engine","Bachelor's in Fine Arts, Animation, or Design",1–4 years,"Versatile across industries, Portfolio-driven career, Remote-friendly","High competition, Software costs, Deadline pressure",7.8,41
2,3D Artist,Computer Graphics & Animation,Intermediate,2016,19459,23356,"2,50,000 – 8,00,000",Designs and builds digital 3D models textures and environments that are used in games films simulations and virtual experiences.,"3D modeling, Texturing, UV mapping, Lighting, Rendering, Composition","Blender, Maya, ZBrush, Substance Painter, Unreal Engine","Bachelor's in Fine Arts, Animation, or Design",1–4 years,"Versatile across industries, Portfolio-driven career, Remote-friendly","High competition, Software costs, Deadline pressure",7.8,41
2,3D Artist,Computer Graphics & Animation,Intermediate,2017,14497,23095,"2,70,000 – 8,60,000",Designs and builds digital 3D models textures and environments that are used in games films simulations and virtual experiences.,"3D modeling, Texturing, UV mapping, Lighting, Rendering, Composition","Blender, Maya, ZBrush, Substance Painter, Unreal Engine","Bachelor's in Fine Arts, Animation, or Design",1–4 years,"Versatile across industries, Portfolio-driven career, Remote-friendly","High competition, Software costs, Deadline pressure",7.8,41
2,3D Artist,Computer Graphics & Animation,Intermediate,2018,19204,10817,"2,90,000 – 9,30,000",Designs and builds digital 3D models textures and environments that are used in games films simulations and virtual experiences.,"3D modeling, Texturing, UV mapping, Lighting, Rendering, Composition","Blender, Maya, ZBrush, Substance Painter, Unreal Engine","Bachelor's in Fine Arts, Animation, or Design",1–4 years,"Versatile across industries, Portfolio-driven career, Remote-friendly","High competition, Software costs, Deadline pressure",7.8,41
2,3D Artist,Computer Graphics & Animation,Intermediate,2019,28501,52225,"3,20,000 – 10,10,000",Designs and builds digital 3D models textures and environments that are used in games films simulations and virtual experiences.,"3D modeling, Texturing, UV mapping, Lighting, Rendering, Composition","Blender, Maya, ZBrush, Substance Painter, Unreal Engine","Bachelor's in Fine Arts, Animation, or Design",1–4 years,"Versatile across industries, Portfolio-driven career, Remote-friendly","High competition, Software costs, Deadline pressure",7.8,41
2,3D Artist,Computer Graphics & Animation,Intermediate,2020,25254,43385,"3,40,000 – 10,90,000",Designs and builds digital 3D models textures and environments that are used in games films simulations and virtual experiences.,"3D modeling, Texturing, UV mapping, Lighting, Rendering, Composition","Blender, Maya, ZBrush, Substance Painter, Unreal Engine","Bachelor's in Fine Arts, Animation, or Design",1–4 years,"Versatile across industries, Portfolio-driven career, Remote-friendly","High competition, Software costs, Deadline pressure",7.8,41
